id	hash	time	median_time	size	stripped_size	weight	version	version_hex	version_bits	merkle_root	nonce	bits	difficulty	chainwork	coinbase_data_hex	transaction_count	witness_count	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee_total	fee_total_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total	generation	generation_usd	reward	reward_usd	guessed_miner
759196	00000000000000000005971e91bc147ccf6d01ebdd957750539c71925cac19d7	2022-10-18 07:48:32	2022-10-18 07:05:23	1294209	899781	3993552	538624000	201ac000	100000000110101100000000000000	c526e253249cf7cf6a2d4c53d716cceaf99d5adb87b3eb76cd95a18ffad1dbd5	3411140406	386393970	35610794164372	00000000000000000000000000000000000000003766a45233d202011e4609d2	039c950b1362696e616e63652f383233cd0015016e8fa461fabe6d6d002c7896d58d5b3e9c23403f2a323a1e6a90040ffea5acb8ff7dac5a2805ae1a0200000000000000000030ce2f09000000000000	1690	1390	6621	4619	5091353542841	995024576	5091978542841	995146752	10872397	2124.8381	8403.584	1.6424	2723.5818	0.5324	18563.84223276	625000000	122146.375	635872397	124271.2109	Binance
759197	000000000000000000079e7e6db979929b782014e6a70b383bedf901bda3a921	2022-10-18 07:48:46	2022-10-18 07:15:30	1005726	998031	3999819	1073676292	3fff0004	111111111111110000000000000100	504c5dfab566187d094625bc9ae4abb373c6798d69ccefe5d802278ffc264c2d	851418812	386393970	35610794164372	00000000000000000000000000000000000000003766c4b59cf1ebb4ad25d12c	039d950b04565a4e632f706f6f6c696e2e636f6d2ffabe6d6d95ff347215115c126234d67ba164345491707dd9b03801d4f7e3cb6111c310470100000000000000e579b4ec937809da9dbb151bbfdeac171200d10d000000000000	37	25	5620	66	25700524547	5022761.5	26325524547	5144908	6239566	1219.4246	6207.041	1.2131	1560.6785	0.3051	10995.964014972	625000000	122146.375	631239566	123365.7969	Poolin
759198	00000000000000000003d0e40af59c25a198eeb86088d8f94dda70c7d52d8edd	2022-10-18 07:58:48	2022-10-18 07:16:16	1366073	875562	3992759	585400320	22e48000	100010111001001000000000000000	02999d66058d7d51ca9cd165db118c015b3905f36c69af2da1bffaf6b97104b7	3122689151	386393970	35610794164372	00000000000000000000000000000000000000003766e5190611d5683c059886	039e950b0b2f4d61726120506f6f6c2f1a0100020000000300000008002d6bfe00000000000000	2238	1926	6990	5804	1390918282427	271832992	1391543282427	271955136	9834085	1921.9165	7200.3276	1.4071	2463.629	0.4815	9801.074868263	625000000	122146.375	634834085	124068.2891	Unknown
759199	00000000000000000005b9fd49dc0ec784e1c3503316800802517b02919770c5	2022-10-18 07:59:26	2022-10-18 07:16:31	1080935	972338	3997949	664141828	27960004	100111100101100000000000000100	b53f79d76c72eb46e9eb89ee11375636a0adb517377a94353d09b896089bde5f	1341892912	386393970	35610794164372	00000000000000000000000000000000000000003767057c6f31bf1bcae55fe0	039f950b2cfabe6d6d9262d2678ea87e13e2a1993b06747d749549aa22f42747526786c4eabe9fb55410000000f09f909f092f4632506f6f6c2f65000000000000000000000000000000000000000000000000000000000000000000000005004c000000	288	261	3976	861	65828534538	12865147	66453534538	12987293	1939175	378.9811	1794.7281	0.3508	485.24832	0.0948	340.22500880281	625000000	122146.375	626939175	122525.3594	F2Pool
759200	000000000000000000035888a7587cc9e2820fa32a2fef890ed652e8e59333c6	2022-10-18 08:10:13	2022-10-18 07:37:21	1171962	940540	3993582	837804032	31efe000	110001111011111110000000000000	a3c510bb81b315e90d449e79e9625a29d2f0783dfc2a9066cc9bac6de034e308	3891209247	386393970	35610794164372	0000000000000000000000000000000000000000376725dfd851a8cf59c5273a	03a0950b11627463636f6d383938930047037650625bfabe6d6d174cb4bcc1925692249f1cae7d15257ebd03f92f22cc920ea973729a9777a2f00400000000000000f26600006901000000000000	1262	1054	6836	3654	549798272313	107449384	550423272313	107571528	15072747	2945.7302	12865.799	2.5145	3775.7515	0.738	2971.5367444181	625000000	122146.375	640072747	125092.1016	Unknown
759201	0000000000000000000322294cce60690cdffa0c1fa25743bb040b0965d0952d	2022-10-18 08:18:12	2022-10-18 07:48:32	1511180	827192	3992756	543162368	20600000	100000011000000000000000000000	3c37827b477480ef187f3c9f88d94ae49fab29340a9e8310b031a8bfff240192	567938162	386393970	35610794164372	00000000000000000000000000000000000000003767464341719282e8a4ee94	03a1950b0444614e632f466f756e6472792055534120506f6f6c202364726f70676f6c642f19fdfdd048ba010000000000	2060	1643	7492	5441	338850943786	66223064	339475943786	66345208	9320925	1821.6276	6169.2026	1.2056	2335.0977	0.4563	11213.870564021	625000000	122146.375	634320925	123968	Foundry USA Pool
759202	0000000000000000000540c8ffb2ab013bb3bc7ae2852f9fc97e42a3c2370a6d	2022-10-18 08:26:55	2022-10-18 07:48:46	1399525	866243	3998254	671080452	27ffe004	100111111111111110000000000100	d31d1cc4ca1fb21784ec184c12317234c7ff3a073cad7d6bf8cf0fa070ecb015	4169465219	386393970	35610794164372	0000000000000000000000000000000000000000376766a6aa917c367784b5ee	03a2950b2cfabe6d6d61759004592698b724bb84174c10cce49bf1a7e3a87dca69a4206529c30a13f510000000f09f909f092f4632506f6f6c2f730000000000000000000000000000000000000000000000000000000000000000000000050020e10f63	1660	1381	6536	4242	471504262165	92148056	472129262165	92270208	9058483	1770.3374	6474.6274	1.2654	2266.571	0.443	5536.2660869576	625000000	122146.375	634058483	123916.7109	F2Pool
759203	00000000000000000001e848bfae6dcca1762ac5d3bff86179943e1cb3270cf9	2022-10-18 08:31:23	2022-10-18 07:58:48	1134731	952814	3993173	536870912	20000000	100000000000000000000000000000	93b8ebf17cb0df9bf9862c30d55780ea6e573d1e5215fa483ff65e6e2319c2c6	648013744	386393970	35610794164372	00000000000000000000000000000000000000003767870a13b165ea06647d48	03a3950b172f5669614254432f4d696e656420627920776d3330732f2cfabe6d6d5f2b72f7dcc8f3cb2efb26ba768f239ef998efb9019a4e5a1811a452894ee61810000000000000001054b38d1324570f4db4cf60cad9f6050000000000	896	765	4475	2233	676919803314	132293280	677544803314	132415424	4512503	881.8974	3977.9255	0.7774	1130.4146	0.2208	5290.9366438636	625000000	122146.375	629512503	123028.2734	ViaBTC
759204	00000000000000000002504f321ef8005506869b58d41fde1c0fb908dabd8a46	2022-10-18 09:01:22	2022-10-18 07:59:26	1541116	819057	3998287	691044356	29308004	101001001100001000000000000100	c8be240a849edcf29048036e0c077d0ad214a8404ea7edee44cff43919dbf7c4	1322084641	386393970	35610794164372	00000000000000000000000000000000000000003767a76d7cd14f9d954444a2	03a4950b2cfabe6d6d2986624dd6db6c373e3dcd438c1837012141e8b45e99cca3d17c59ca824c2c2a10000000f09f909f092f4632506f6f6c2f7300000000000000000000000000000000000000000000000000000000000000000000000500bddc0f63	3206	2764	7579	8689	4038228223987	789207872	4038853223987	789330048	19008666	3714.9434	12337.962	2.4113	4756.22	0.9295	32623.876810018	625000000	122146.375	644008666	125861.3203	F2Pool
759205	00000000000000000000a24feb0b4fe4b369ed524fb60c18a98c5b8839b0d8e8	2022-10-18 09:44:35	2022-10-18 08:10:13	1439643	852769	3997950	536870916	20000004	100000000000000000000000000100	265d61c494024a01ecd595526e377e58ce9ddcd653d45cd3610bf8a75a8f9e96	1766350189	386393970	35610794164372	00000000000000000000000000000000000000003767c7d0e5f1395124240bfc	03a5950b2cfabe6d6df1b5d1b4e832a81e20bde5f8cd5010f3e4185c63adfa7de9f3827c106389e44210000000f09f909f092f4632506f6f6c2f6600000000000000000000000000000000000000000000000000000000000000000000000500ebfb0200	3267	2732	6572	9777	2598246338087	507786208	2598871338087	507908352	23605022	4613.2285	16401.58	3.2055	5906.787	1.1544	29170.771239337	625000000	122146.375	648605022	126759.6016	F2Pool
