id;hash;time;median_time;size;stripped_size;weight;version;version_hex;version_bits;merkle_root;nonce;bits;difficulty;chainwork;coinbase_data_hex;transaction_count;witness_count;input_count;output_count;input_total;time_per_block;Столбец1;;;;17,00;;;;
759170;00000000000000000006f60d309c3e394b24665cf751e90449b96eab260594ed;3:51:00;18.10.2022 3:08;1090736;969144;3998168;671080452;27ffe004;1,00E+29;13dd6430a9da53dc2d8ad9ba6fa8de005b355d2ab795d9d05d9f6da741f34f35;199531906;386393970;3,56E+13;000000000000000000000000000000000000000037635a39869445c49b8bcaae;0382950b2cfabe6d6d4eb94994ecdf4d1df25a26d0f4124eb3c7890dfdd1ef69606129cae9f5bf9b5610000000f09f909f092f4632506f6f6c2f730000000000000000000000000000000000000000000000000000000000000000000000050097900f63;527;465;6302;1097;7,17E+11;3,00;;;;;1,00;;;;
759171;0000000000000000000199a3a6e37460d037b7d2b2f8352d806db5a600d4f550;4:15:00;18.10.2022 3:18;1396551;865509;3993078;770301952;2de9e000;1,01E+29;f0c6df5e3a7c9ca4cda081ce4c2222a76f6fbcd750817ebe9757703d986e156d;2955245434;386393970;3,56E+13;000000000000000000000000000000000000000037637a9cefb42f782a6b9208;0383950b0469284e632f466f756e6472792055534120506f6f6c202364726f70676f6c642f12b54bd6000025ca33030000;1952;1604;6638;7068;1,06E+12;1,00;;;;;15,00;;;;
759172;00000000000000000000ce2478bef09afd5b368cd7c78b6996d8bb27529e6487;4:19:00;18.10.2022 3:25;1265553;909330;3993543;578674688;227de000;1,00E+29;b60265df50a02232dd184e4ffdebbf123772b0dbf7aa532361002fc78760cb5f;2904823667;386393970;3,56E+13;000000000000000000000000000000000000000037639b0058d4192bb94b5962;0384950b1362696e616e63652f37393028008d0223a1bad1fabe6d6db0559deacfcf1de8670f3beb85fc22456d7715e0cac7430596b661b5f70d46bb0200000000000000ea54000099000000;918;756;5947;9350;1,29E+11;15,00;;;;;7,00;;;;
759173;0000000000000000000598cf514e0efe92f833a125b5c890e19e13aee5d46d59;4:34:00;18.10.2022 3:47;1366783;877057;3997954;536870916;20000004;1,00E+29;764d0976ec65f8268f0c532f1f245ef368cab09efb642cbea2b6b3d1ceba8906;3602895967;386393970;3,56E+13;00000000000000000000000000000000000000003763bb63c1f402df482b20bc;0385950b2cfabe6d6d50c2c272e1ab65183ecb59230ae2d3d9e300a0fcbb2f478ffdb4f52f85a2206610000000f09f909f092f4632506f6f6c2f650000000000000000000000000000000000000000000000000000000000000000000000050026330100;1974;1492;6652;7810;1,14E+12;7,00;;;;;6,00;;;;
759174;00000000000000000004fb8b3c20b991f21b0689bf23f1ab810ee6adfcc36c14;4:41:00;18.10.2022 3:50;1146665;948668;3992669;551550976;2,00E+01;1,00E+29;dbdcd43c7e90c4e90d1d96a29c8c32c173f169f288be7c4578d9903fd732e6a9;4020702517;386393970;3,56E+13;00000000000000000000000000000000000000003763dbc72b13ec92d70ae816;0386950b0120120909092009092009059b83068332d8020000;970;747;5972;3430;3,32E+11;6,00;;;;;6,00;;;;
759175;000000000000000000064b6b6b735c23e1067ddeb82cda075870b18d8318fdd1;4:47:00;18.10.2022 3:51;1103778;963040;3992898;551550976;2,00E+01;1,00E+29;ec1f2d93021973f8bbf9068a7e76d411f916f4c3181d770636225358a50f35aa;2206085896;386393970;3,56E+13;00000000000000000000000000000000000000003763fc2a9433d64665eaaf70;0387950b04da2f4e632f466f756e6472792055534120506f6f6c202364726f70676f6c642f04202dd909d4020000000000;765;601;5843;2565;1,43E+11;6,00;;;;;1,00;;;;
759176;0000000000000000000347ede469d4c8710d7ae2f94f9216e86cdf1ba4785bf1;4:53:00;18.10.2022 4:15;1203995;929751;3993248;541065216;20400000;1,00E+29;4e4e3ffe42a4f6c4b892a8dc213ad3c7e96b0a368845e6c7fcb2d987feca8817;2910081765;386393970;3,56E+13;000000000000000000000000000000000000000037641c8dfd53bff9f4ca76ca;0388950b122f5669614254432f5472757374706f6f6c2f2cfabe6d6d1b90d7a728261081f2670909b1757195fbcbffaf6a0815bed9f428e8593e0179100000000000000010c1088e13c04da61891578a3ce17a000000000000;823;682;6523;2705;6,45E+11;1,00;;;;;2,00;;;;
759177;000000000000000000044a34fa25e97b335878e4140d272d37ad9cb3b003aa90;4:54:00;18.10.2022 4:19;1029066;611873;2864685;541065216;20400000;1,00E+29;9daaad3c2f096712f34248af2fa904855188f2b7ff0e285d4f1acafd643c5d60;4130915387;386393970;3,56E+13;000000000000000000000000000000000000000037643cf16673a9ad83aa3e24;0389950b315c20506f7765726564206279204c75786f722054656368205c0000000085ca86f15375249f00368e45f0d2000000000000;567;474;5459;1595;3,27E+11;2,00;;;;;3,00;;;;
759178;000000000000000000068f3488297b2cb2a7d997040b0ffb7a395e945023c2f7;4:56:00;18.10.2022 4:34;213621;112935;552426;640876544;26330000;1,00E+29;41f55ecb3c07ae078d07e2b64e66283b66eadb2c0b269059c0bfbd24fd91fa96;892455502;386393970;3,56E+13;000000000000000000000000000000000000000037645d54cf939361128a057e;038a950b0b2f4d61726120506f6f6c2f1a0100020000000300000008001c887600000000000000;299;245;1066;802;25898196373;3,00;;;;;28,00;;;;
759179;000000000000000000051ad07f5a11b6701fb954648b0dc44ca41c8a3d6eba92;4:59:00;18.10.2022 4:41;184075;82996;433063;654344192;27008000;1,00E+29;8a4fa54b9ab77c40533dd0cb10aaa1d7b45720b7eafa342b5ae6f8c909167443;554429195;386393970;3,56E+13;000000000000000000000000000000000000000037647db838b37d14a169ccd8;038b950b1b4d696e656420627920416e74506f6f6c3838332800b50231ee957dfabe6d6deb854c57b626746e2af7bf5214e69eeb353f226700c2837db888e9492203dabd02000000000000000000d8df4700000000000000;250;208;899;677;34623126031;28,00;;;;;1,00;;;;
